title,company,location,link
2020년 수시,하나은행,대한민국,https://kr.indeed.com/viewjob?jk=89c2c453695cdea7
네이버웹툰 데이터분석 인턴 (체험형),네이버,대한민국,https://kr.indeed.com/viewjob?jk=dfe337fc40297c35
[Clova] Clova AI 인재,네이버,대한민국,https://kr.indeed.com/viewjob?jk=92bd400e3b5306ba
[전문연구요원] 상시,네이버,대한민국,https://kr.indeed.com/viewjob?jk=b79c2ae536063b01
보훈대상자 인재 채용,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=dfcb86f156623e5c
"Cyber Defensive Operator, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/viewjob?jk=b009f7aa9de5ef48
Security Engineer,이베이 코리아,대한민국,https://kr.indeed.com/viewjob?jk=4688f7b98878484e
인공지능 AI 코딩 전문가 양성과정 (무료/취업),송원대학교산학협력단,광주 서구,https://kr.indeed.com/viewjob?jk=2eed854308f20975
네이버 쇼핑검색플랫폼 개발자,네이버,대한민국,https://kr.indeed.com/viewjob?jk=f3a14b3f8d9e3e12
[빅데이터] 데이터 플랫폼 엔지니어링 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=bc2e60aa5e8f18bb
(세종시) 응용프로그램개발 정규직 - 신입/경력,디엠씨소프트,대한민국,https://kr.indeed.com/viewjob?jk=157c5580e101255a
[NAVERxLINE] Global Ad Data Engineer/AI Engineer/AI Planner,네이버,대한민국,https://kr.indeed.com/viewjob?jk=a358a39da5dfc360
Design for Test (DFT) Engineer,SiFive,대한민국,https://kr.indeed.com/viewjob?jk=6c6ccc05ec15dc41
"Cybersecurity Policy Specialist, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/viewjob?jk=45773a15dc174fee
Systems Improvement Specialist (MES/Quality focus),듀폰코리아,천안 동남구,https://kr.indeed.com/viewjob?jk=0025501fdfaf08e7
네이버 일본 맛집 서비스 CONOMI 머신러닝 개발자,네이버,대한민국,https://kr.indeed.com/viewjob?jk=feac8a234b715106
[Autonomous Driving] Virtual Environment Simulation Engineer,네이버,대한민국,https://kr.indeed.com/viewjob?jk=5ed0334bca0963cb
[개발]Python 백엔드 개발자(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=a4946f6098077a45
백엔드 엔지니어 (e-커머스),리디,서울특별시,https://kr.indeed.com/viewjob?jk=fb3aedda32d2843b
[정규직] 각 부문별 신입/경력,파크시스템스,수원 영통구,https://kr.indeed.com/viewjob?jk=c5f24be08e893136
AI/빅데이터 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/viewjob?jk=fb617eeb80ea6fa9
분석지원팀 - 데이터 분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=4233609a843b5e96
"Cyber Risk Management Analyst, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/viewjob?jk=433ceb4487baf3dc
데이터 엔지니어,리디,서울특별시,https://kr.indeed.com/viewjob?jk=1937ebb0ea172f08
MPK / MPI-SD Joint Postdoctoral Position for Ultrafast Nonlinear Spectroscopy in Solids (Theory),POSTECH / Max Planck POSTECH/KOREA Res. Init.,대한민국,https://kr.indeed.com/viewjob?jk=e11bc11a4d72cc54
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
2020년 5월 신입/경력 공채,제우스,경기도 오산,https://kr.indeed.com/viewjob?jk=21d93be117fb1214
[판교]기술지원,NHN Service] [판교,경기도,https://kr.indeed.com/viewjob?jk=466ed639df372448
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/viewjob?jk=ce6747e77c861c46
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=e1719c3044cb5bd1
Support Engineer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=0bbf23c0930be392
[Search] BigData and AI Platform S/W엔지니어 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=7d85150a375cfacf
Physical Implementation Engineer,SiFive,대한민국,https://kr.indeed.com/viewjob?jk=55537575b7dd8d87
"빅데이터, 인공지능(AI) 외 신입/경력 정규직",thecompany,경상남도,https://kr.indeed.com/viewjob?jk=2b7bc67cebf49cc0
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터-신입)",한국정보기술단,서울 서초구,https://kr.indeed.com/viewjob?jk=c267f5ca9614c38a
기후변화감시과 무기계약 근로자,기상청,대한민국,https://kr.indeed.com/viewjob?jk=4479f4beaaf387ea
위치기반 게임플랫폼 서버 개발자 영입,라이프엠엠오,성남 분당구,https://kr.indeed.com/viewjob?jk=d6aa69c5fea27251
퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/viewjob?jk=9040dba1c8db2a5d
모빌리티 자율주행 솔루션 실무과정 국비교육(4차산업인력양성),연희직업전문학교,인천 서구,https://kr.indeed.com/viewjob?jk=acbcd598c4efddaf
2020년 국가표준코디네이터[인공지능분야],한국표준협회,서울 강남구,https://kr.indeed.com/viewjob?jk=02b00ed83695c87d
IT 전문가 양성 교육과정 교육생 (취업연계),인제대학교 산학협력단,경상남도 김해,https://kr.indeed.com/viewjob?jk=30e6b7545e75c949
데이터 분석가,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=092d062a6faa7139
[Robotics] Deep Reinforcement Learning Engineer,네이버,대한민국,https://kr.indeed.com/viewjob?jk=05d6f01f9a494a1b
2020 APAC Graduate Programme – Junior Fixed Income Sales,BNP Paribas,서울,https://kr.indeed.com/viewjob?jk=b2c01054f550bdf2
Solutions Architect,Cloudera,대한민국,https://kr.indeed.com/viewjob?jk=a459013391a3d600
[Clova] Clova AI AiCall 개발자 경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=7db25ada717266e0
Quant 트레이딩 부문,벨에포크자산운용,대한민국,https://kr.indeed.com/viewjob?jk=3e617a8ed7934773
[해외취업] AI 엔지니어,株式会社ASCOM,대한민국,https://kr.indeed.com/viewjob?jk=67a92be234325f85
스마트모니터링 시스템 개발원,KAN,울산 북구,https://kr.indeed.com/viewjob?jk=b449106e6f9d0deb
2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/viewjob?jk=212ca67d161b7162
광고팀 - 분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=3a08c7089343733d
데이터 엔지니어,리디,서울특별시,https://kr.indeed.com/viewjob?jk=1937ebb0ea172f08
매칭팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=48090bdf1303bd76
Systems Improvement Specialist (MES/Quality focus),듀폰코리아,천안 동남구,https://kr.indeed.com/viewjob?jk=0025501fdfaf08e7
경험최적화파트 - 데이터 사이언티스트/분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=c6e0b428a62c7eaa
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
모빌리티 자율주행 솔루션 실무과정 국비교육(4차산업인력양성),연희직업전문학교,인천 서구,https://kr.indeed.com/viewjob?jk=acbcd598c4efddaf
퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/viewjob?jk=9040dba1c8db2a5d
2020년 국가표준코디네이터[인공지능분야],한국표준협회,서울 강남구,https://kr.indeed.com/viewjob?jk=02b00ed83695c87d
콘텐츠서비스개발팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=b35da47f5e84c9b4
인프라보안 직군 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=f8fceff441e23ad6
[Clova] Clova AI AiCall 개발자 경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=7db25ada717266e0
데이터연동개발팀 - 데이터엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=5b8d56d7f11903a2
MySQL Engineer,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=dd06066d79860614
Developers,Coinplug,경기도 성남,https://kr.indeed.com/viewjob?jk=9a9e91ae6092ed2d
[해외취업] Senior Back-End Developer,LILI SG,대한민국,https://kr.indeed.com/viewjob?jk=6219c67701d6d524
소프트웨어 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=e9332c9aa21fc59c
매칭팀 - 프로그래머,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=b83e48f219011128
[Search] [Vision] Computer Vision Research / System Engineer 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=fe383fbe18dc32e1
"Customer Solutions Engineer, Global Client and Agency Solutions",Google,서울,https://kr.indeed.com/viewjob?jk=2615f45e6f912c05
AD 데이터 분석,LINE Plus corporation,성남 서현역,https://kr.indeed.com/viewjob?jk=c73ca1effb65d557
기후변화감시과 무기계약 근로자,기상청,대한민국,https://kr.indeed.com/viewjob?jk=4479f4beaaf387ea
(세종시) 응용프로그램개발 정규직 - 신입/경력,디엠씨소프트,대한민국,https://kr.indeed.com/viewjob?jk=157c5580e101255a
[Autonomous Driving] Software Tool Engineer,네이버,대한민국,https://kr.indeed.com/viewjob?jk=84348b9371558933
웹프론트엔드 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=f4a5057bd3043129
시스템 엔지니어링,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=2c0226e483779522
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab
네이버 쇼핑검색플랫폼 개발자,네이버,대한민국,https://kr.indeed.com/viewjob?jk=f3a14b3f8d9e3e12
Server Tech II,Amway Inc.,서울,https://kr.indeed.com/viewjob?jk=c547d8629b2c686a
IT 전문가 양성 교육과정 교육생 (취업연계),인제대학교 산학협력단,경상남도 김해,https://kr.indeed.com/viewjob?jk=30e6b7545e75c949
근로자(연구원),기상청,대한민국,https://kr.indeed.com/viewjob?jk=03801e6002dec8d0
Lead Product Engineer - Liberate,Cadence Design Systems,경기도,https://kr.indeed.com/viewjob?jk=ffac42e32db26233
[Search] NAVER Search 이미지 검색서버개발 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=a771637c0eeffc26
Junior Quant Trader,Byzantine Partners,서울,https://kr.indeed.com/viewjob?jk=25725b3c0e607311
2020 APAC Graduate Programme – Junior Fixed Income Sales,BNP Paribas,서울,https://kr.indeed.com/viewjob?jk=b2c01054f550bdf2
Data Analyst,레이니스트,서울,https://kr.indeed.com/viewjob?jk=e5ca14de265f7fc9
"데이터 가치 함께 발굴하실 머신러닝, 통계 모델링 전문가",카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=d1e75364ef505c68
소프트웨어 그룹 유망계열사,그룹 유망계열사,경기도,https://kr.indeed.com/viewjob?jk=8e7e6dd1929ae8ab
Staff AE,Synopsys,서울,https://kr.indeed.com/viewjob?jk=c388192aa3ac0634
경험최적화파트 - 머신러닝 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=7bf179a290a157b2
Data Analyst,토스,서울 강남구,https://kr.indeed.com/viewjob?jk=e393fa440b668be7
"2020 상반기 HTML, PHP, 프론트엔드, Python 외 경력무관",메카솔루션,대구 달서구,https://kr.indeed.com/viewjob?jk=67561ed13f81b563
사내 시스템 (O365) 구축/관리 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=b4bd6d5bad3b761c
[Clova] Clova 서비스 서버 개발 경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=3d99c00c986d2c57
Software Engineer,Google,서울,https://kr.indeed.com/viewjob?jk=d2df92c32bd4a203
[한국오라클] Data Center Technician (Engineer),한국오라클,강원도 춘천,https://kr.indeed.com/viewjob?jk=af4eba857169ba01
데이터 분석 및 지표 구축,아프리카TV,성남 분당구,https://kr.indeed.com/viewjob?jk=613678e409e8667c
Technical Leader - OPC,Siemens AG,경기도 성남,https://kr.indeed.com/viewjob?jk=2cfcbfbe70232dbc
유저프로파일팀 - 데이터 모델러,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=8dfc9993e2aa9160
Python 신입/경력 정규직,태그바이컴퍼니,서울 강남구,https://kr.indeed.com/viewjob?jk=e7b19736572ba66e
"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌,대한민국,https://kr.indeed.com/viewjob?jk=ad1bf1198b168944
클라우드 인프라 운영 담당자 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=bcd2f0630e298aa3
[해외취업] S글로벌 디지털컨설팅 법인 소프트웨어 개발자 - 전세계 27개 법인보유,아이씨엔그룹,대한민국,https://kr.indeed.com/viewjob?jk=6314fdeb26eb249f
추천 시스템 연구/개발,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=be6c1f03fa566f8e
모바일 보안,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=fa32e47d04a9f932
"빅데이터, 인공지능(AI) 외 신입/경력 정규직",thecompany,경상남도,https://kr.indeed.com/viewjob?jk=2b7bc67cebf49cc0
데이터 사이언스 전문가 및 머신러닝 전문가,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=85929aac498299cc
신규 글로벌 Entertainment 서비스 API 서버 개발,LINE Plus corporation,성남 정자역,https://kr.indeed.com/viewjob?jk=9b44934f71fd85f6
2019년도 기후과학국 공무직 근로자,기상청,대한민국,https://kr.indeed.com/viewjob?jk=feef527463fcc0ad
[해외취업] AI/BI 엔지니어,유아솔류션즈,대한민국,https://kr.indeed.com/viewjob?jk=e286e08d5582feb3
Data Engineer (Analytics/Anomaly-detection),LINE Plus corporation,성남 서현역,https://kr.indeed.com/viewjob?jk=4fbc49b63296ff88
(주)넷타겟 Bio-IT 융합 연구소 AI 연구원,넷타겟,대전 유성구,https://kr.indeed.com/viewjob?jk=1701b26651bb739a
카카오톡 보이스톡/페이스톡/라이브톡 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=d585814d097935eb
[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=f7d997676f80e247
"카카오콘 앱(iOS), 서버 경력 개발자",카카오,대한민국,https://kr.indeed.com/viewjob?jk=b9974ad79659bb6d
검색개발,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=71e0b966bf1531df
Linux/Python/PHP/MySQL/백엔드 정규직 경력,일루미나리안,용인 보정동,https://kr.indeed.com/viewjob?jk=04d685fc70b67d4e
Data Scientist,하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=5bc622575fee61b8
[Search] 검색 서버 개발 & DevOps 엔지니어 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=e9e86127df39c006
Data Scientist,토스,서울 강남구,https://kr.indeed.com/viewjob?jk=f5f5f902d240ac96
데이터 인프라 담당자 (경력),카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=8a5c305f2e5018ed
데이터 분석 직군 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=1c4f1c0b625f5abd
Software Engineer,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=49335253c9d14ed4
GNI 소프트웨어 개발자,KAN,울산 북구,https://kr.indeed.com/viewjob?jk=b2ebc1da56d8b120
플랫폼 채팅모듈 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=3b752abecf619fe5
데이터 분석가(팀원급),리디,서울,https://kr.indeed.com/viewjob?jk=a03fdcac1dffb97a
ERP 담당자 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=68875cf86f31569e
AD Performance Dev,LINE Plus corporation,성남 서현역,https://kr.indeed.com/viewjob?jk=cef60a5a4a42fe95
[모아리포트] 개발팀 / 백엔드 엔지니어,버즈니,서울,https://kr.indeed.com/viewjob?jk=3b8b8e19a432077d
(주)NDSOFT 2020년 개발자,엔디소프트,부산 해운대구,https://kr.indeed.com/viewjob?jk=9c9a44b95e58b706
동아대학교 미디어디바이스연구센터 S/W Engineer 연구원,동아대학교 산학협력단,부산 사하구,https://kr.indeed.com/viewjob?jk=5e59f68707c8d65a
자연어처리전문가 금융챗봇 만들어 갈 엔지니어,파운트,서울 충정로역,https://kr.indeed.com/viewjob?jk=a50fce6cc2cb57c9
Global Payment 데이터 분석,LINE Plus corporation,성남 판교역,https://kr.indeed.com/viewjob?jk=498cbbf909edbab6
[KSTEC] 2020년 신입 및 경력 (SW개발자),지식시스템,성남 분당구,https://kr.indeed.com/viewjob?jk=35e46106a40a2182
보안 개발자 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=b9a9af798e9d24a5
[직접결제] 개발팀 / 백엔드 엔지니어,버즈니,서울,https://kr.indeed.com/viewjob?jk=6fc4e90d77d06c62
Support Engineer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=0bbf23c0930be392
챗봇 플랫폼 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=20d40ee61adffeca
[해외취업] IT엔지니어,유아솔류션즈,대한민국,https://kr.indeed.com/viewjob?jk=fd0e5f5aa2592df1
Developer (개발자),Coinplug,경기도 성남,https://kr.indeed.com/viewjob?jk=b7be58e7af38d186
삼성 청년SW아카데미 4기,멀티캠퍼스,서울,https://kr.indeed.com/viewjob?jk=f179ae9ce0b642be
"글로벌 플랫폼 쉴드 개발(인증보안,이상결제,평판 등)",Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=07f425a9fb3ee67b
[멜론] 빅데이터 서비스 개발자,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=3e2a310c9dd0f693
Field Data Scientist,Success Korea,경기도,https://kr.indeed.com/viewjob?jk=2892c67308e87f01
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/viewjob?jk=a39853230d5ceca8
"Tech U Associate Solution Architect, Public Sector – 2020 Korea",Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=3c63bba3ee9b3090
Business Data Analyst,Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=166aa0c72e94a266
[빅데이터] 데이터 플랫폼 엔지니어링 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=bc2e60aa5e8f18bb
PDC SW Engineer (R&D Extension),Applied Materials Inc.,경기도 화성,https://kr.indeed.com/viewjob?jk=bd47be8c217b1a6e
[Clova] Clova Platform Backend 개발자 경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=79aa0ecba6067f06
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/viewjob?jk=a39853230d5ceca8
"R&D Engineer, Sr II",Synopsys,서울,https://kr.indeed.com/viewjob?jk=f8b4db31ab69ea32
바디모션 캡처기술 인공지능(AI) 연구개발 전문기업,인공지능(AI) 연구개발 전문기업,경기도,https://kr.indeed.com/viewjob?jk=8925ce6bab9d00d6
클라우드 인프라 운영 담당자 모집,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=bcd2f0630e298aa3
소프트웨어 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=e9332c9aa21fc59c
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab
"2019년도 제1회 국가기상위성센터 공무직근로자(연구원, 전문연구요원) 공개경쟁",기상청,대한민국,https://kr.indeed.com/viewjob?jk=c470c687732c780e
Linux/Python/PHP/MySQL/백엔드 정규직 경력,일루미나리안,용인 보정동,https://kr.indeed.com/viewjob?jk=04d685fc70b67d4e
Robot SW Engineer 그룹 IT인프라 구축,그룹 IT인프라 구축,서울특별시,https://kr.indeed.com/viewjob?jk=7c7f6f9c070d78bd
2020년 빅데이터 및 데이터기획 전문인력양성 교육,한국여성과학기술인지원센터,서울 강남구,https://kr.indeed.com/viewjob?jk=3415cf8f57794ab0
웹프론트엔드 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=f4a5057bd3043129
Data Architect,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=5d9a7b29a92fc3da
"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌,대한민국,https://kr.indeed.com/viewjob?jk=ad1bf1198b168944
Senior Full-stack Developer,Asiance,서울,https://kr.indeed.com/viewjob?jk=978edf4ea4db4d6c
[Search] 검색 서버 개발 & DevOps 엔지니어 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=e9e86127df39c006
[Search] 글로벌 콘텐츠 검색/ AI 기술 개발 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=90104004fabe2502
(클라우드서비스) 언더클라우드 서버 개발자 모집,카카오엔터프라이즈,성남 삼평동,https://kr.indeed.com/viewjob?jk=ba14be82795fd2e6
데이터 사이언스 전문가 및 머신러닝 전문가,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=85929aac498299cc
Data Specialist (Scientist&&Engineer),아우름플래닛,서울 마포구,https://kr.indeed.com/viewjob?jk=dd4d8e59a4a9265d
[해외취업] AI/BI 엔지니어,유아솔류션즈,대한민국,https://kr.indeed.com/viewjob?jk=e286e08d5582feb3
"프로그래머 _딥러닝,텐서플로우,웹프로그램,응용프로그램",웹플래너,서울 용산구,https://kr.indeed.com/viewjob?jk=af83a22a7360762e
Data Engineer (Analytics/Anomaly-detection),LINE Plus corporation,성남 서현역,https://kr.indeed.com/viewjob?jk=4fbc49b63296ff88
2019년 기상청 국가태풍센터 공무직 근로자 (연장),기상청,대한민국,https://kr.indeed.com/viewjob?jk=e62bb1a22d09c5d5
[국비무료/해외취업] 일본 관광·서비스기업/독일 IT기업 취업연수생,전경련 국제경영원,서울 영등포구,https://kr.indeed.com/viewjob?jk=15a42e1f57cda077
